Title,Link,Authors,Year,Cited,SDGs
pengaruh konsep motivasi prestasi persepsi profesi guru minat guru ekonomi,"https://scholar.google.com/scholar?q=+intitle:'pengaruh konsep diri, motivasi berprestasi, dan persepsi profesi guru terhadap minat menjadi guru ekonomi'",s mallyanti ik winatha y rizal,2020,2,SDG 4: Pendidikan Berkualitas
kembang model didik tanggap bencana bas multikultural,https://scholar.google.com/scholar?q=+intitle:'pengembangan model pendidikan tanggap bencana berbasis multikultural',e rufaidah k kodri,2020,2,SDG 4: Pendidikan Berkualitas
strategi inovasi kreativitas berwirausaha era revolusi 40 kaji empiris kaji literatur,https://scholar.google.com/scholar?q=+intitle:'strategi inovasi dan kreativitas berwirausaha di era revolusi 4.0 (kajian empiris dan kajian literatur)',er erlina rufaidah k kodri,2020,2,SDG 4: Pendidikan Berkualitas
optimalisasi rumah ajar pekon sukamarga camat suoh kabupaten lampung barat,https://scholar.google.com/scholar?q=+intitle:'optimalisasi rumah belajar di pekon sukamarga kecamatan suoh kabupaten lampung barat',e rufaidah n nurdin,2020,2,SDG 4: Pendidikan Berkualitas
analysis of the surface subsidence of porong and surrounding area east java indonesia based on interferometric satellite aperture radar insar data,"https://scholar.google.com/scholar?q=+intitle:'analysis of the surface subsidence of porong and surrounding area, east java, indonesia based on interferometric satellite aperture radar (insar) data.'",i arifianto rc wibowo,2020,2,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi
prediksi fluida hidrokarbon amplitude versus offset avo lapang â€ cha cekung sumatera selatan,"https://scholar.google.com/scholar?q=+intitle:'prediksi fluida hidrokarbon menggunakan amplitude versus offset (avo) di lapangan â€ œchaâ€, cekungan sumatera selatan'",rc wibowo i ferucha m sarkowi o dewanto,2020,2,SDG 15: Ekosistem Daratan
pengaruh terap model ajar inkuiri bimbing praktikum konversi energi panas lisrik tingkat mampu pikir kritis,https://scholar.google.com/scholar?q=+intitle:'pengaruh penerapan model pembelajaran inkuiri terbimbing dengan praktikum konversi energi panas ke lisrik untuk meningkatkan kemampuan berpikir kritis',aa putri e suyanto ba wicaksono,2020,2,SDG 4: Pendidikan Berkualitas
kualitas walkability jalur pejal kaki kawasan bisnis simpur center,https://scholar.google.com/scholar?q=+intitle:'kualitas walkability jalur pejalan kaki pada kawasan bisnis simpur center dan sekitar',gm wijayanti a agustina r sulistyorini,2020,2,SDG 3: Kehidupan Sehat dan Sejahtera
profil mampu pikir kritis siswa konsep keanekaragaman hayati problem based learning,https://scholar.google.com/scholar?q=+intitle:'profil kemampuan berpikir kritis siswa pada konsep keanekaragaman hayati melalui problem based learning',e erwanto,2020,2,SDG 4: Pendidikan Berkualitas
analisis butuh bahan ajar bas arif lokal budidaya nanas madu belik,https://scholar.google.com/scholar?q=+intitle:'analisis kebutuhan bahan ajar berbasis kearifan lokal budidaya nanas madu belik',e erwanto f roshayanti j siswanto ms hayat,2020,2,SDG 4: Pendidikan Berkualitas
model dispersi udara ambien polutan karbon monoksida sektor transportasi kota bandar lampung,https://scholar.google.com/scholar?q=+intitle:'pemodelan dispersi udara ambien oleh polutan karbon monoksida sektor transportasi di kota bandar lampung',samp ofrial a zakaria d herianto,2020,2,SDG 4: Pendidikan Berkualitas
bantu teknis meta skala dusun desa purwotani kec jati agung kab lampung selatan,"https://scholar.google.com/scholar?q=+intitle:'bantuan teknis pemetaan skala besar dusun lima, desa purwotani, kec. jati agung, kab. lampung selatan'",a armijon f murdapa i adha e rahmadi i susanti s,2020,2,SDG 2: Tanpa Kelaparan
implementasi model ajar kooperatif tipe stad student team achievement divisions ajar didik agama islam pai,https://scholar.google.com/scholar?q=+intitle:'implementasi model pembelajaran kooperatif tipe stad (student team achievement divisions) dalam pembelajaran pendidikan agama islam (pai)',a setiawan mma sholeh,2020,2,SDG 4: Pendidikan Berkualitas
notary responsibility on electronically stored client data challenges and developments,https://scholar.google.com/scholar?q=+intitle:'notary responsibility on electronically stored client data: challenges and developments',b burhanuddin j sumardi m maskun,2020,2,"SDG 9: Industri, Inovasi, dan Infrastruktur"
banding analisis data curah hujan hilang metode normal ratio inversed square distance ratarata aljabar regresi ganda studi 5 stasiun …,"https://scholar.google.com/scholar?q=+intitle:'perbandingan analisis data curah hujan yang hilang menggunakan metode normal ratio, inversed square distance, rata-rata al-jabar, dan regresi berganda (studi kasus: 5 stasiun …'",r lawi,2020,2,"SDG 9: Industri, Inovasi, dan Infrastruktur"
analisis pengaruh anomali iklim curah hujan propinsi bengkulu,https://scholar.google.com/scholar?q=+intitle:'analisis pengaruh anomali iklim terhadap curah hujan di propinsi bengkulu',mr ismail a zakaria ge susilo,2020,2,SDG 3: Kehidupan Sehat dan Sejahtera
experiment comparison of daucus carota l juice with topical povidone iodine in mice incision wound healing,https://scholar.google.com/scholar?q=+intitle:'experiment comparison of daucus carota l. juice with topical povidone iodine in mice incision wound healing',y nurmalasari n nofita e warganegara ai sijabat,2020,2,SDG 3: Kehidupan Sehat dan Sejahtera
efikasi aman extracorporeal shock wave lithotripsy eswl tipe piezoelektrik pasien batu ginjal,https://scholar.google.com/scholar?q=+intitle:'efikasi dan keamanan extracorporeal shock wave lithotripsy (eswl) tipe piezoelektrik pada pasien batu ginjal',e hadibrata md tjahjo my fadli ah priyono,2020,2,SDG 3: Kehidupan Sehat dan Sejahtera
ekologi didik,https://scholar.google.com/scholar?q=+intitle:'ekologi pendidikan',dm dedy miswar n irma lus,2020,2,SDG 4: Pendidikan Berkualitas
biomarker potensi deteksi risiko diabetes mellitus gestasional prakonsepsi,https://scholar.google.com/scholar?q=+intitle:'biomarker yang berpotensi mendeteksi risiko diabetes mellitus gestasional pada masa prakonsepsi',rn jasmadi i kurniati,2020,2,SDG 3: Kehidupan Sehat dan Sejahtera
kaji syair warahan klasik gamolan instrumen musik tradisional lampung,https://scholar.google.com/scholar?q=+intitle:'kajian syair pada warahan klasik tentang gamolan instrumen musik tradisional lampung',h hasyimkan e barnawi u hakim,2020,2,SDG 4: Pendidikan Berkualitas
discovery learning strategy integrating thinkpairshare and teacher s corrective feedback to enhance students writing language accuracy,https://scholar.google.com/scholar?q=+intitle:'discovery learning strategy: integrating think-pair-share and teacher’s corrective feedback to enhance students’writing language accuracy',f flora p raja m mahpul,2020,2,SDG 4: Pendidikan Berkualitas
efektifitas gamifikasi ajar bahasa inggris daring era pandemic,https://scholar.google.com/scholar?q=+intitle:'efektifitas gamifikasi dalam mengajar bahasa inggris secara daring di era pandemic',ms had n iswan athallah,2020,2,SDG 4: Pendidikan Berkualitas
analisis implementasi pilar penumbuhkembangan usaha produktif desa migran produktif desmigratif jepara kabupaten lampung timur,https://scholar.google.com/scholar?q=+intitle:'analisis implementasi pilar penumbuhkembangan usaha produktif di desa migran produktif (desmigratif) jepara kabupaten lampung timur',y fitriani bu suroso aa puspawati,2020,2,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi
stakeholder analysis on the implementation of family development program for indonesian migrant workers using soft system methodology,https://scholar.google.com/scholar?q=+intitle:'stakeholder analysis on the implementation of family development program for indonesian migrant workers using soft system methodology',aa puspawati,2020,2,SDG 4: Pendidikan Berkualitas
the influence of znmn electroplating current density to aisi 1020 steel corrosion rate,https://scholar.google.com/scholar?q=+intitle:'the influence of zn-mn electroplating current density to aisi 1020 steel corrosion rate',ap sandi eg suka yi supriyatna s sumardi,2020,2,SDG 4: Pendidikan Berkualitas
harmonization of lampung coastal environmental management policies in communitybased management regimes,https://scholar.google.com/scholar?q=+intitle:'harmonization of lampung coastal environmental management policies in community-based management regimes',m anwar m shafira,2020,2,SDG 4: Pendidikan Berkualitas
tahan kultivar buah tomat solanum lycopersicum l jamur colletotrichum acutatum jh simmonds sebab sakit antraknosa,https://scholar.google.com/scholar?q=+intitle:'ketahanan kultivar buah tomat (solanum lycopersicum l.) terhadap jamur colletotrichum acutatum jh simmonds penyebab penyakit antraknosa',y yulianty ml lande w sri wahyuningsih,2020,2,SDG 3: Kehidupan Sehat dan Sejahtera
uji similarity competition among banks and its psychological effect on employee retention and supply chain management in indonesia,https://scholar.google.com/scholar?q=+intitle:'uji similarity: competition among banks and its psychological effect on employee retention and supply chain management in indonesia',h jimad,2020,2,"SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
analisis pengaruh digital marketing kualitas produk harga putus beli fore coffee,"https://scholar.google.com/scholar?q=+intitle:'analisis pengaruh digital marketing, kualitas produk dan harga terhadap keputusan pembelian pada fore coffee'",d ambarwati,2020,2,SDG 12: Konsumsi dan Produksi yang Bertanggung Jawab
eplanning ebudgeting and government internal control system as a corruption prevention tools in indonesia,"https://scholar.google.com/scholar?q=+intitle:'e-planning, e-budgeting, and government internal control system as a corruption prevention tools in indonesia'",f yuliant w setyawan rr gamayuni tj prasetyo,2020,2,"SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
buku lapor uang usaha mikro tengah kembang ekonomi kreatif potensi sumber daya alam pekon sumber alam camat air hitam,https://scholar.google.com/scholar?q=+intitle:'pentingnya pembukuan laporan keuangan pada usaha mikro dan menengah serta pengembangan ekonomi kreatif potensi sumber daya alam di pekon sumber alam kecamatan air hitam',t setiawan l indraningtyas eg fadhallah,2020,2,"SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
the implementation of picture word inductive model pwim to improve students writing of descriptive text,https://scholar.google.com/scholar?q=+intitle:'the implementation of picture word inductive model (pwim) to improve students’ writing of descriptive text',p rahmatika f flora t sinaga,2020,2,SDG 4: Pendidikan Berkualitas
does the cognitive activity can generate student s physics argumentation performance features,https://scholar.google.com/scholar?q=+intitle:'does the cognitive activity can generate student’s physics argumentation performance features?',jipf albiruni,2020,2,SDG 4: Pendidikan Berkualitas
the effectiveness of inquiry social complexity to improving critical and creative thinking skills of senior high school students,https://scholar.google.com/scholar?q=+intitle:'the effectiveness of inquiry social complexity to improving critical and creative thinking skills of senior high school students',rp ryzal perdana rbr rbr b budiyono s sajidan,2020,2,SDG 4: Pendidikan Berkualitas
relationship between government spending and private investment in indonesia,https://scholar.google.com/scholar?q=+intitle:'relationship between government spending and private investment in indonesia',s saimul,2020,2,"SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
development of reading comprehension ability assessment for students,https://scholar.google.com/scholar?q=+intitle:'development of reading comprehension ability assessment for students',d dalman m mardiana h hesti a luviadi r sulistiyono,2020,2,SDG 4: Pendidikan Berkualitas
potensi nanopartikel agromedicine,https://scholar.google.com/scholar?q=+intitle:'potensi nanopartikel dalam agromedicine',er hutagaol n utami,2020,2,SDG 2: Tanpa Kelaparan; SDG 3: Kehidupan Sehat dan Sejahtera
values of character education in the sirih pinang symbol a cultural value of coastal society,https://scholar.google.com/scholar?q=+intitle:'values of character education in the sirih pinang symbol: a cultural value of coastal society',f daryanti m jazuli ts florentinus h hartono,2020,2,SDG 4: Pendidikan Berkualitas
hubung verbal bullying cerdas interpersonal serta didik sd,https://scholar.google.com/scholar?q=+intitle:'hubungan verbal bullying dengan kecerdasan interpersonal peserta didik sd',a fadhlilah iwu tias,2020,2,SDG 4: Pendidikan Berkualitas
kembang media ajar matematika bas android,https://scholar.google.com/scholar?q=+intitle:'pengembangan media pembelajaran matematika berbasis android',m yusman,2020,2,SDG 4: Pendidikan Berkualitas
occupational diving neurological complications of diving,https://scholar.google.com/scholar?q=+intitle:'occupational diving: neurological complications of diving',tu winda,2020,2,SDG 7: Energi Bersih dan Terjangkau
tinjau guna metformin tehadap defisiensi vitamin b12 pasien diabetes melitus tipe 2,https://scholar.google.com/scholar?q=+intitle:'tinjauan penggunaan metformin tehadap defisiensi vitamin b12 pada pasien diabetes melitus tipe 2',h natasya d iswandi,2020,2,SDG 3: Kehidupan Sehat dan Sejahtera
manfaat media audio visual giat ekstrakurikuler sma negeri 1 gedong tata,https://scholar.google.com/scholar?q=+intitle:'pemanfaatan media audio visual pada kegiatan ekstrakurikuler di sma negeri 1 gedong tataan',rs ramadan a kurniawan dt juwita,2020,2,SDG 4: Pendidikan Berkualitas
mitra dinas sosial provinsi lampung lembaga sejahtera sosial amanah bunda rehabilitasi sosial sandang disabilitas,https://scholar.google.com/scholar?q=+intitle:'kemitraan dinas sosial provinsi lampung dan lembaga kesejahteraan sosial amanah bunda dalam rehabilitasi sosial penyandang disabilitas',d ershanty b utoyo s maarif,2020,2,SDG 3: Kehidupan Sehat dan Sejahtera
daya masyarakat program indigo creativa natiton studi corporate social responsibility pt telkom indonesia jogja digital valley,https://scholar.google.com/scholar?q=+intitle:'pemberdayaan masyarakat melalui program indigo creativa natiton (studi kasus corporate social responsibility pt telkom indonesia di jogja digital valley)',ma pratama,2020,2,"SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
pengaruh ajar tahu cemar online sikap peduli lingkung siswa smp heritage tnbbs ulubelu,https://scholar.google.com/scholar?q=+intitle:'pengaruh pembelajaran pengetahuan pencemaran secara online terhadap sikap peduli lingkungan siswa smp pada heritage tnbbs di ulubelu',s arlistiani a surbakti i rakhmawati,2020,2,SDG 4: Pendidikan Berkualitas
market reaction toward the announcement of domestic market obligation for coal price,https://scholar.google.com/scholar?q=+intitle:'market reaction toward the announcement of domestic market obligation for coal price',p reynaldi m faks s hasnawati,2020,2,SDG 4: Pendidikan Berkualitas
guna simulasi monte carlo ukur value at risk aset tunggal portofolio dekat capital asset pricing model tentu portofolio optimal …,https://scholar.google.com/scholar?q=+intitle:'penggunaan simulasi monte carlo untuk pengukuran value at risk aset tunggal dan portofolio dengan pendekatan capital asset pricing model sebagai penentu portofolio optimal pada …',d iasha s hasnawati,2020,2,SDG 4: Pendidikan Berkualitas
cepat bangun ekonomi daerah tinggal kabupaten pesisir barat,https://scholar.google.com/scholar?q=+intitle:'percepatan pembangunan ekonomi daerah tertinggal (kabupaten pesisir barat)',lm hamzah e agustin,2020,2,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi
kondisi sosial ekonomi keluarga mukim daerah slum lurah bumi waras,https://scholar.google.com/scholar?q=+intitle:'kondisi sosial ekonomi keluarga yang bermukim di daerah slum di kelurahan bumi waras',fm harahap s widodo d utami,2020,2,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi
hubung lingkung ajar minat ajar mahasiswa guru kota bandar lampung 2018,https://scholar.google.com/scholar?q=+intitle:'hubungan lingkungan belajar dengan minat belajar mahasiswa perguruan tinggi kota bandar lampung tahun 2018',r aringga p pargito d utami,2020,2,SDG 4: Pendidikan Berkualitas
aplikasi rosetta stone lafal bahasa prancis siswa kelas x sma negeri 16 bandarlampung,https://scholar.google.com/scholar?q=+intitle:'aplikasi rosetta stone dalam pelafalan bahasa prancis siswa kelas x di sma negeri 16 bandarlampung',z amien vb febrianto d rosita,2020,2,SDG 4: Pendidikan Berkualitas
aplikasi klip video lagu bahasa prancis tingkat a1 cecrl terampil simak siswa smk krida wisata bandar lampung 2019,https://scholar.google.com/scholar?q=+intitle:'aplikasi klip video lagu bahasa prancis untuk tingkat a1 dalam cecrl pada keterampilan menyimak bagi siswa di smk krida wisata bandar lampung 2019',r zikrillah d rosita e ikhtiarti,2020,2,SDG 4: Pendidikan Berkualitas
observation of the saibatin traditional house with biological architecture approach,https://scholar.google.com/scholar?q=+intitle:'observation of the saibatin traditional house with biological–architecture approach',d fadilasari d lisa,2020,2,SDG 3: Kehidupan Sehat dan Sejahtera
tingkat paham mampu kelola uang keluarga rangka capai sejahtera mandiri rumah tangga,https://scholar.google.com/scholar?q=+intitle:'peningkatan pemahaman dan kemampuan pengelolaan keuangan keluarga dalam rangka pencapaian kesejahteraan dan kemandirian rumah tangga',wre putri,2020,2,SDG 4: Pendidikan Berkualitas
pengaruh kerja uang rate of return,https://scholar.google.com/scholar?q=+intitle:'pengaruh kinerja keuangan terhadap rate of return',sa putri r oktavia wre putri,2020,2,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi
ekonomi indonesia,https://scholar.google.com/scholar?q=+intitle:'perekonomian indonesia',a darmawan,2020,2,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi
internalisasi didik agama islam konsep aurat jilbab era kontemporer,https://scholar.google.com/scholar?q=+intitle:'internalisasi pendidikan agama islam dalam konsep aurat dan jilbab di era kontemporer',m usman,2020,2,SDG 4: Pendidikan Berkualitas
human rights enforcement through the implementation of public servicebased criminal justice,https://scholar.google.com/scholar?q=+intitle:'human rights enforcement through the implementation of public service-based criminal justice',nda maroni n ariani,2020,2,SDG 4: Pendidikan Berkualitas
pengaruh model ajar think pair share mampu komunikasi matematis siswa,https://scholar.google.com/scholar?q=+intitle:'pengaruh model pembelajaran think pair share terhadap kemampuan komunikasi matematis siswa',i marantika n nurhanurawati m coesamin,2020,2,SDG 4: Pendidikan Berkualitas
meta kondisi hidup akses pangan sehat keluarga pandemi covid19 jawa barat,"https://scholar.google.com/scholar?q=+intitle:'pemetaan kondisi penghidupan, akses atas pangan dan kesehatan keluarga dalam masa pandemi covid-19 di jawa barat'",f abdulgani h aron w prima,2020,2,SDG 3: Kehidupan Sehat dan Sejahtera
friedrich engels pikir kritik,https://scholar.google.com/scholar?q=+intitle:'friedrich engels: pemikiran dan kritik',d mulyanto f abdulgani,2020,2,SDG 4: Pendidikan Berkualitas
identifikasi faktorfaktor putus konsumen beli kopi arabika manglayang karlina warung kopi kiwari,https://scholar.google.com/scholar?q=+intitle:'identifikasi faktor-faktor keputusan konsumen dalam membeli kopi arabika manglayang karlina di warung kopi kiwari',k kusno m fadli t karyani e djuwendah,2020,2,SDG 12: Konsumsi dan Produksi yang Bertanggung Jawab
mallet finger,https://scholar.google.com/scholar?q=+intitle:'mallet finger',td ashar h ismunandar,2020,2,SDG 15: Ekosistem Daratan
g4p3a0 hamil 30 minggu inpartu partus prematurus imminens ketuban pecah,https://scholar.google.com/scholar?q=+intitle:'g4p3a0 hamil 30 minggu belum inpartu dengan partus prematurus imminens dan ketuban pecah dini',pala kirana n islamy a yonata,2020,2,SDG 3: Kehidupan Sehat dan Sejahtera
manajemen anestesi pediatri invaginasi lapor,https://scholar.google.com/scholar?q=+intitle:'manajemen anestesi pada pediatri dengan invaginasi: sebuah laporan kasus',dl octiara a wahyuni,2020,2,SDG 15: Ekosistem Daratan
evaluasi terap slims senayan library management system olah bahan pustaka pustaka smk negeri 4 bandar lampung,https://scholar.google.com/scholar?q=+intitle:'evaluasi penerapan slims (senayan library management system) dalam pengolahan bahan pustaka di perpustakaan smk negeri 4 bandar lampung',p purwanto m annisa,2020,2,SDG 4: Pendidikan Berkualitas
pedagogical competence based on teacher ss selfreflection,https://scholar.google.com/scholar?q=+intitle:'pedagogical competence based on teacher’ss self-reflection',a ambarita l sabdaningtyas a wahyudi,2020,2,"SDG 9: Industri, Inovasi, dan Infrastruktur"
daya masyarakat kelompok tani tingkat self reliance to health lurah jatimulyo camat jati agung lampung selatan,https://scholar.google.com/scholar?q=+intitle:'pemberdayaan masyarakat kelompok petani untuk meningkatkan self reliance to health di kelurahan jatimulyo kecamatan jati agung lampung selatan',s suharmanto da ramdini s rahmawati,2020,2,SDG 2: Tanpa Kelaparan
suluh kanker payudara latih breast self examination bse wanita usia subur desa umbul niti lurah jatimulyo camat jati agung lampung selatan,https://scholar.google.com/scholar?q=+intitle:'penyuluhan kanker payudara dan pelatihan breast self examination (bse) pada wanita usia subur di desa umbul niti kelurahan jatimulyo kecamatan jati agung lampung selatan',s suharmanto mr ulya ba pramesona,2020,2,SDG 2: Tanpa Kelaparan
kadipaten gunung polisi upaya belanda kuasa tanah kasunanan surakarta abad ke19,https://scholar.google.com/scholar?q=+intitle:'kadipaten gunung polisi: upaya belanda dalam menguasai tanah kasunanan surakarta pada abad ke-19',h susanto ra pratama,2020,2,SDG 3: Kehidupan Sehat dan Sejahtera
tatalaksana oral nonantimikroba pasien akne vulgar,https://scholar.google.com/scholar?q=+intitle:'tatalaksana oral non-antimikroba pada pasien akne vulgaris',anggraini,2020,2,SDG 3: Kehidupan Sehat dan Sejahtera
analysis of indonesian students error in solving mathematical literacy problems based on pisa 2015 results,https://scholar.google.com/scholar?q=+intitle:'analysis of indonesian students’ error in solving mathematical literacy problems based on pisa 2015 results',s setiawati t herman a jupri,2020,2,SDG 4: Pendidikan Berkualitas
the effect of the implementation of problembased physics learning to improve the students creativity,https://scholar.google.com/scholar?q=+intitle:'the effect of the implementation of problem-based physics learning to improve the students’ creativity',r amin,2020,2,SDG 4: Pendidikan Berkualitas
aplikasi limbah cair nanas kompos kotor sapi tingkat populasi mikroorganisme larut fosfat ultisol lampung,"https://scholar.google.com/scholar?q=+intitle:'aplikasi limbah cair nanas dan kompos kotoran sapi meningkatkan populasi mikroorganisme pelarut fosfat di ultisol, lampung tengah'",ws ramadhani e handayanto y nuraini a rahmat,2020,2,SDG 2: Tanpa Kelaparan; SDG 15: Ekosistem Daratan
rekonstruksi penampang zona rawan longsor daerah pidada bandar lampung metode tomografi seismik refraksi,"https://scholar.google.com/scholar?q=+intitle:'rekonstruksi penampang zona rawan longsor di daerah pidada, bandar lampung, menggunakan metode tomografi seismik refraksi'",i dan rz sinambela ibs yogi,2020,2,SDG 4: Pendidikan Berkualitas
improving students achievement in writing recount text through picture series strategy,https://scholar.google.com/scholar?q=+intitle:'improving students’ achievement in writing recount text through picture series strategy',d shafwati s sudirman,2020,2,SDG 4: Pendidikan Berkualitas
the media and communication system of woman in lampung culture at north lampung regency,https://scholar.google.com/scholar?q=+intitle:'the media and communication system of woman in lampung culture at north lampung regency',ag zainal,2020,2,SDG 4: Pendidikan Berkualitas
womens communication patterns in the manjau nayuh tradition in north lampung regency,https://scholar.google.com/scholar?q=+intitle:'women's communication patterns in the manjau nayuh tradition in north lampung regency',ag zainal,2020,2,SDG 4: Pendidikan Berkualitas
studi rencana kapasitas gardu traksi klender operasional kereta rel listrik krl lintas jatinegarabekasi,https://scholar.google.com/scholar?q=+intitle:'studi perencanaan kapasitas gardu traksi klender untuk operasional kereta rel listrik (krl) lintas jatinegara-bekasi',i sari p pawenary mn qosim,2020,2,SDG 15: Ekosistem Daratan
studi zona sesar metode geolistrik resistivitas data geologi muka camat ujungloe kabupaten bulukumba,https://scholar.google.com/scholar?q=+intitle:'studi zona sesar menggunakan metode geolistrik resistivitas dan data geologi permukaan di kecamatan ujungloe kabupaten bulukumba',m yusran ma massinai mh syahruddin,2020,2,SDG 2: Tanpa Kelaparan
holistic management of seborrheic dermatitis through the family doctors approach,https://scholar.google.com/scholar?q=+intitle:'holistic management of seborrheic dermatitis through the family doctor's approach',dz qubro a nusadewiarti,2020,2,SDG 4: Pendidikan Berkualitas
stretching exercise and grip strength on flat serve tennis skills experimental study on fkor uns students,https://scholar.google.com/scholar?q=+intitle:'stretching exercise and grip strength on flat serve tennis skills: experimental study on fkor uns students',m mariyanto ks soegiyanto a kristiyanto t hidayah,2020,2,SDG 4: Pendidikan Berkualitas
the development of a riskinformed framework for the appraisal of drainage maintenance of ballasted railway track,https://scholar.google.com/scholar?q=+intitle:'the development of a risk-informed framework for the appraisal of drainage maintenance of ballasted railway track',k usman,2020,2,SDG 11: Kota dan Permukiman yang Berkelanjutan
evaluasi sifat fisik sedia lotiondengan variasi konsentrasi ekstrak daun kelor moringa oleifera l tabi surya,https://scholar.google.com/scholar?q=+intitle:'evaluasi sifat fisik sediaan lotiondengan variasi konsentrasi ekstrak daun kelor (moringa oleifera l.) sebagai tabi surya',as ulandari n sugihartini,2020,2,SDG 3: Kehidupan Sehat dan Sejahtera
strategi penuh butuh industri olah ikan,https://scholar.google.com/scholar?q=+intitle:'strategi pemenuhan kebutuhan industri pengolahan ikan',m reza n tri wiji i solihin,2020,2,"SDG 9: Industri, Inovasi, dan Infrastruktur; SDG 14: Ekosistem Laut"
aplikasi peta wisata bas android kabupaten sawar,https://scholar.google.com/scholar?q=+intitle:'aplikasi peta wisata berbasis android kabupaten pesawaran',w wartarius rz arifin m junaidi,2020,2,SDG 14: Ekosistem Laut
program implementation of communityoriented policing,https://scholar.google.com/scholar?q=+intitle:'program implementation of community-oriented policing',rfp tondo lr franco ht gumandol p mark,2020,2,SDG 4: Pendidikan Berkualitas
rancang bangun drilling jig alat bantu bor benda silindris,https://scholar.google.com/scholar?q=+intitle:'rancang bangun drilling jig sebagai alat bantu mengebor benda silindris',m nur s syamsuar s sumardi,2020,2,SDG 2: Tanpa Kelaparan
the existence of kuntara raja niti book in the value system of lampung society in pekon marga kaya,https://scholar.google.com/scholar?q=+intitle:'the existence of kuntara raja niti book in the value system of lampung society in pekon marga kaya',iy isdiyanto mf alwajdi m nur,2020,2,SDG 11: Kota dan Permukiman yang Berkelanjutan
desain simulasi cascade interleaved boost converter kendali dynamic evolution control,https://scholar.google.com/scholar?q=+intitle:'desain dan simulasi cascade interleaved boost converter menggunakan kendali dynamic evolution control',d feriyanto a fauzan,2020,2,SDG 15: Ekosistem Daratan
algorithms to determine fuzzy chromatic number of cartesian product and join of fuzzy graphs,https://scholar.google.com/scholar?q=+intitle:'algorithms to determine fuzzy chromatic number of cartesian product and join of fuzzy graphs',i rosyida cr indrati d indriati,2020,2,"SDG 9: Industri, Inovasi, dan Infrastruktur"
efektivitas latih relaksasi otot progresif turun cemas primary caregiver anak derita leukemia,https://scholar.google.com/scholar?q=+intitle:'efektivitas pelatihan relaksasi otot progresif terhadap penurunan kecemasan primary caregiver anak penderita leukemia',ai nainggolan w widyastuti a ridfah,2020,2,SDG 3: Kehidupan Sehat dan Sejahtera
persepsi wisatawan kembang wisata puncak mas lampung,https://scholar.google.com/scholar?q=+intitle:'persepsi wisatawan terhadap pengembangan wisata puncak mas lampung',ra permana sp harianto gd winarno bs dewi,2020,1,SDG 4: Pendidikan Berkualitas
analisis keanekaragaman jenis burung air desa sangga taman nasional way kambas studi desa braja harjosari,https://scholar.google.com/scholar?q=+intitle:'analisis keanekaragaman jenis burung air di desa penyangga taman nasional way kambas (studi kasus desa braja harjosari)',mi fayogi sp harianto bs dewi a setiawan,2020,1,SDG 3: Kehidupan Sehat dan Sejahtera
bioprocessing and physical treatments of sweet potato into flour,https://scholar.google.com/scholar?q=+intitle:'bioprocessing and physical treatments of sweet potato into flour',n yuliana s nurdjanah,2020,1,SDG 3: Kehidupan Sehat dan Sejahtera
natural fermentation of orange sweet potatoes to producebrined pickle under different salt content,https://scholar.google.com/scholar?q=+intitle:'natural fermentation of orange sweet potatoes to producebrined pickle under different salt content',n yuliana m sari,2020,1,SDG 4: Pendidikan Berkualitas
similarity studi analisis finansial diri industri keripik pisang provinsi lampung,https://scholar.google.com/scholar?q=+intitle:'similarity: studi analisis finansial pendirian industri keripik pisang di provinsi lampung',s hidayat n yuliana,2020,1,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi
isolation and screening of amylolytic and proteolytic thermophilic bacteria from way panas hot spring kalianda south lampung,"https://scholar.google.com/scholar?q=+intitle:'isolation and screening of amylolytic and proteolytic thermophilic bacteria from way panas hot spring, kalianda, south lampung'",l mahestri e harpeni a setyawan,2020,1,SDG 3: Kehidupan Sehat dan Sejahtera
uji efektivitas tepung umbi teki cyperus rotundus l kendali sakit antraknosa tanam cabai lapang,https://scholar.google.com/scholar?q=+intitle:'uji efektivitas tepung umbi teki (cyperus rotundus l.) dalam mengendalikan penyakit antraknosa pada tanaman cabai dilapang',dm sihite m nurdin sr dirmawati hm akin,2020,1,SDG 3: Kehidupan Sehat dan Sejahtera
